Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOB Value (USD),Total tax (ETB),Total tax (USD)
2013,01,1000 100,19059020,---Fresh Injera,United Arab Emirates,,,"152,372.00","144,801.00","4,096,540.75","217,899.94",0.00,0.00
2013,01,1000 100,07132000,"Dried chickpeas, shelled",Saudi Arabia,,,"302,183.78","301,785.00","4,096,361.59","217,890.41",0.00,0.00
2013,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED","Taiwan, Province of China",,,"52,896.00","52,200.00","4,064,972.82","216,220.81",0.00,0.00
2013,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Canada,,,"72,960.00","72,000.00","4,004,353.65","212,996.40",0.00,0.00
2013,01,1000 100,52103900,"Dyed woven cotton fabrics, nes, with <85% cotton, =<200g/m2",Turkey,,M,"34,925.40","33,622.00","4,004,228.77","212,989.76",0.00,0.00
2013,01,1000 101,07139000,"Dried leguminous vegetables, shelled, nes",India,,,"230,506.00","230,000.00","4,000,413.69","212,786.83",0.00,0.00
2013,01,1000 100,07031000,"Onions and shallots, fresh or chilled",Djibouti,,,"1,217,570.00","1,204,775.00","3,953,348.69","210,283.39",0.00,0.00
2013,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED","Korea, Republic of",,,"72,960.00","72,000.00","3,944,040.14","209,788.25",0.00,0.00
2013,01,1000 101,07133300,"Dried kidney beans, incl. white pea beans, shelled",Turkey,,,"322,708.40","322,000.00","3,931,043.04","209,096.92",0.00,0.00
2013,01,1071 100,01029010,---OX,United Arab Emirates,502,UN,"158,520.00","158,520.00","3,805,802.74","202,435.24",0.00,0.00
2013,01,1000 100,09101000,Ginger,Saudi Arabia,,,"166,364.00","166,000.00","3,788,358.87","201,507.38",0.00,0.00
2013,01,1000 505,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,Hong Kong,,,"7,885.00","7,641.00","3,706,291.98","197,142.14",0.00,0.00
2013,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Jordan,,,"72,720.00","72,000.00","3,693,963.78","196,486.39",0.00,0.00
2013,01,1000 100,64051000,"FOOTWEAR, NES, WITH LEATHER OR COMPOSITION LEATHER UPPERS",France,1,2UN,"2,290.00","2,000.00","3,662,672.86","194,821.99",0.00,0.00
2013,01,1000 100,01041000,LIVE SHEEP,Djibouti,"3,237",UN,"105,513.00","105,513.00","3,609,521.68","191,994.81",0.00,0.00
2013,01,1071 100,10070000,Grain sorghum,Saudi Arabia,,,"700,000.00","698,880.00","3,605,228.38","191,766.45",0.00,0.00
2013,01,1000 100,41071100,"LEATHER-FURTHER PREPARED...WHOLE HIDES AND SKINS :FULL GRAINS ,UNSPLIT",Italy,,,"3,486.00","3,425.10","3,587,910.20","190,845.27",0.00,0.00
2013,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Spain,,,"59,912.00","59,400.00","3,552,954.56","188,985.94",0.00,0.00
2013,01,1000 100,09101000,Ginger,India,,,"144,288.00","144,000.00","3,493,092.96","185,801.83",0.00,0.00
2013,01,1000 100,40170000,Hard rubber (eg. ebonite) in all forms; articles of hard rubber,Sudan,,,"272,374.00","272,200.00","3,403,923.89","181,058.82",0.00,0.00
2013,01,1000 100,44072900,OTHER TROPICAL WOOD SPEC'D IN SUBHDG.NOTE 1 TO CH44 SAWN LENGTHWSE>6MM NES,Sudan,"10,699",M3,"1,388,450.00","1,388,450.00","3,322,801.34","176,743.81",0.00,0.00
2013,01,1000 100,61044200,"DRESSES OF COTTON, KNITTED OR CROCHETED",Sudan,38,UN,"3,578.00","3,578.00","3,290,177.81","175,008.53",0.00,0.00
2013,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Romania,,,"268,740.00","268,000.00","3,267,593.48","173,807.24",0.00,0.00
2013,01,1000 101,12074000,Sesamum seeds,Israel,,,"114,273.60","114,000.00","3,255,432.45","173,160.38",0.00,0.00
2013,01,1000 100,12079900,"Other oil seeds and oleaginous fruits, nes",United Kingdom,,,"228,228.00","227,544.00","3,211,181.40","170,806.61",0.00,0.00
2013,01,1000 505,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,United Kingdom,,,"3,769.00","3,624.00","3,201,300.88","170,281.06",0.00,0.00
2013,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Somalia,,,"375,750.00","375,000.00","3,178,053.75","169,044.51",0.00,0.00
2013,01,1000 100,61071100,"MEN'S OR BOYS' UNDERPANTS AND BRIEFS OF COTTON, KNITTED OR CROCHETED",Germany,"37,188",UN,"10,373.00","9,057.00","3,172,411.36","168,744.39",0.00,0.00
2013,01,1000 100,41131000,LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..,Italy,,,"6,821.00","6,592.00","3,169,921.63","168,611.96",0.00,0.00
2013,01,1000 100,07020000,Tomatoes fresh or chilled,Djibouti,,,"861,340.00","708,658.00","3,117,289.67","165,812.40",0.00,0.00
2013,01,1000 101,13019000,"NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)",Tunisia,,,"30,800.00","30,000.00","3,064,499.10","163,004.40",0.00,0.00
2013,01,1000 100,12074000,Sesamum seeds,Saudi Arabia,,,"114,289.00","114,120.00","3,062,035.49","162,873.36",0.00,0.00
2013,01,1000 100,33059000,"Preparations for use on the hair, nes",Sudan,,LTR,"72,850.00","55,430.00","3,031,333.72","161,240.30",0.00,0.00
2013,01,1000 100,12074000,Sesamum seeds,Greece,,,"95,315.00","94,957.00","3,019,272.64","160,598.75",0.00,0.00
2013,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Viet Nam,,,"240,480.00","240,000.00","3,003,761.28","159,773.69",0.00,0.00
2013,01,1000 100,12010000,Soya beans,Viet Nam,,,"335,670.00","335,000.00","2,979,185.58","158,466.48",0.00,0.00
2013,01,1000 101,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Japan,,,"38,880.00","38,400.00","2,972,637.74","158,118.19",0.00,0.00
2013,01,1000 100,52121400,"Coloured woven fabrics of cotton, =<200g/m2, nes",China,,M,"55,367.48","54,242.48","2,972,543.33","158,113.17",0.00,0.00
2013,01,1000 100,07135000,"Dried broad beans and horse beans, shelled",Djibouti,,,"216,182.00","213,315.00","2,967,870.42","157,864.61",0.00,0.00
2013,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Canada,,,"54,720.00","54,000.00","2,959,969.41","157,444.34",0.00,0.00
2013,01,1000 100,07139000,"Dried leguminous vegetables, shelled, nes",Turkey,,,"350,700.00","350,000.00","2,942,932.66","156,538.14",0.00,0.00
2013,01,1071 100,07020000,Tomatoes fresh or chilled,Somalia,,,"515,170.00","428,903.00","2,918,029.33","155,213.50",0.00,0.00
2013,01,1000 100,12040000,Linseed,Viet Nam,,,"234,468.00","234,000.00","2,855,484.87","151,886.69",0.00,0.00
2013,01,1000 101,07133300,"Dried kidney beans, incl. white pea beans, shelled",Belgium,,,"230,506.00","230,000.00","2,839,061.35","151,013.10",0.00,0.00
